date,close,symbol
2022-02-16,71.17,BLDR
2022-02-15,71.34,BLDR
2022-02-14,68.78,BLDR
2022-02-11,68.38,BLDR
2022-02-10,69.03,BLDR
2022-02-09,71.48,BLDR
2022-02-08,70.07,BLDR
2022-02-07,67.52,BLDR
2022-02-04,66.81,BLDR
2022-02-03,69.49,BLDR
2022-02-02,71.55,BLDR
2022-02-01,70.1,BLDR
2022-01-31,67.99,BLDR
2022-01-28,66.36,BLDR
2022-01-27,64.19,BLDR
2022-01-26,65.8,BLDR
2022-01-25,67.75,BLDR
2022-01-24,69.8,BLDR
2022-01-21,67.0,BLDR
2022-01-20,69.74,BLDR
2022-01-19,72.63,BLDR
2022-01-18,75.95,BLDR
2022-01-14,78.68,BLDR
2022-01-13,80.58,BLDR
2022-01-12,81.18,BLDR
2022-01-11,80.49,BLDR
2022-01-10,79.01,BLDR
2022-01-07,78.63,BLDR
2022-01-06,82.46,BLDR
2022-01-05,82.4,BLDR
2022-01-04,85.42,BLDR
2022-01-03,83.49,BLDR
2021-12-31,85.71,BLDR
2021-12-30,84.05,BLDR
2021-12-29,85.05,BLDR
2021-12-28,84.46,BLDR
2021-12-27,84.31,BLDR
2021-12-23,82.15,BLDR
2021-12-22,81.06,BLDR
2021-12-21,78.69,BLDR
2021-12-20,75.13,BLDR
2021-12-17,76.83,BLDR
2021-12-16,77.25,BLDR
2021-12-15,78.26,BLDR
2021-12-14,76.64,BLDR
2021-12-13,77.44,BLDR
2021-12-10,79.57,BLDR
2021-12-09,77.75,BLDR
2021-12-08,76.48,BLDR
2021-12-07,76.0,BLDR
2021-12-06,73.38,BLDR
2021-12-03,71.11,BLDR
2021-12-02,73.32,BLDR
2021-12-01,70.22,BLDR
2021-11-30,69.44,BLDR
2021-11-29,71.85,BLDR
2021-11-26,71.43,BLDR
2021-11-24,73.71,BLDR
2021-11-23,73.35,BLDR
2021-11-22,71.8,BLDR
2021-11-19,70.24,BLDR
2021-11-18,71.19,BLDR
2021-11-17,69.25,BLDR
2021-11-16,69.0,BLDR
2021-11-15,67.0,BLDR
2021-11-12,68.0,BLDR
2021-11-11,67.46,BLDR
2021-11-10,66.92,BLDR
2021-11-09,67.68,BLDR
2021-11-08,66.84,BLDR
2021-11-05,67.24,BLDR
2021-11-04,65.4,BLDR
2021-11-03,60.26,BLDR
2021-11-02,58.2,BLDR
2021-11-01,58.54,BLDR
2021-10-29,58.27,BLDR
2021-10-28,58.24,BLDR
2021-10-27,57.04,BLDR
2021-10-26,58.76,BLDR
2021-10-25,60.14,BLDR
2021-10-22,58.89,BLDR
2021-10-21,58.55,BLDR
2021-10-20,58.29,BLDR
2021-10-19,57.52,BLDR
2021-10-18,57.82,BLDR
2021-10-15,57.07,BLDR
2021-10-14,56.81,BLDR
2021-10-13,56.42,BLDR
2021-10-12,55.45,BLDR
2021-10-11,55.2,BLDR
2021-10-08,55.09,BLDR
2021-10-07,54.75,BLDR
2021-10-06,53.14,BLDR
2021-10-05,52.73,BLDR
2021-10-04,52.58,BLDR
2021-10-01,52.96,BLDR
2021-09-30,51.74,BLDR
2021-09-29,53.92,BLDR
2021-09-28,53.94,BLDR
2021-09-27,54.9,BLDR
2021-09-24,54.16,BLDR
2021-09-23,54.26,BLDR
2021-09-22,53.96,BLDR
2021-09-21,52.4,BLDR
2021-09-20,52.02,BLDR
2021-09-17,52.82,BLDR
2021-09-16,52.8,BLDR
2021-09-15,53.12,BLDR
2021-09-14,52.31,BLDR
2021-09-13,53.54,BLDR
2021-09-10,53.47,BLDR
2021-09-09,54.37,BLDR
2021-09-08,54.13,BLDR
2021-09-07,54.33,BLDR
2021-09-03,54.49,BLDR
2021-09-02,54.61,BLDR
2021-09-01,53.59,BLDR
2021-08-31,53.29,BLDR
2021-08-30,53.42,BLDR
2021-08-27,53.25,BLDR
2021-08-26,51.75,BLDR
2021-08-25,52.39,BLDR
2021-08-24,51.14,BLDR
2021-08-23,50.17,BLDR
2021-08-20,49.11,BLDR
2021-08-19,48.43,BLDR
2021-08-18,49.22,BLDR
2021-08-17,49.7,BLDR
2021-08-16,51.58,BLDR
2021-08-13,51.76,BLDR
2021-08-12,51.9,BLDR
2021-08-11,50.24,BLDR
2021-08-10,48.79,BLDR
2021-08-09,47.5,BLDR
2021-08-06,47.29,BLDR
2021-08-05,47.33,BLDR
2021-08-04,45.95,BLDR
2021-08-03,45.86,BLDR
2021-08-02,44.45,BLDR
2021-07-30,44.5,BLDR
2021-07-29,44.94,BLDR
2021-07-28,44.12,BLDR
2021-07-27,44.2,BLDR
2021-07-26,44.01,BLDR
2021-07-23,45.36,BLDR
2021-07-22,44.55,BLDR
2021-07-21,44.94,BLDR
2021-07-20,41.99,BLDR
2021-07-19,40.47,BLDR
2021-07-16,40.98,BLDR
2021-07-15,41.84,BLDR
2021-07-14,41.95,BLDR
2021-07-13,42.33,BLDR
2021-07-12,43.75,BLDR
2021-07-09,42.77,BLDR
2021-07-08,41.75,BLDR
2021-07-07,43.01,BLDR
2021-07-06,42.17,BLDR
2021-07-02,43.26,BLDR
2021-07-01,43.68,BLDR
2021-06-30,42.66,BLDR
2021-06-29,42.57,BLDR
2021-06-28,45.24,BLDR
2021-06-25,45.21,BLDR
2021-06-24,44.84,BLDR
2021-06-23,44.15,BLDR
2021-06-22,44.43,BLDR
2021-06-21,43.88,BLDR
2021-06-18,42.22,BLDR
2021-06-17,43.03,BLDR
2021-06-16,43.33,BLDR
2021-06-15,43.36,BLDR
2021-06-14,42.61,BLDR
2021-06-11,43.86,BLDR
2021-06-10,42.68,BLDR
2021-06-09,43.76,BLDR
2021-06-08,42.26,BLDR
2021-06-07,41.93,BLDR
2021-06-04,42.7,BLDR
2021-06-03,42.25,BLDR
2021-06-02,42.88,BLDR
2021-06-01,44.47,BLDR
2021-05-28,44.54,BLDR
2021-05-27,45.15,BLDR
2021-05-26,45.17,BLDR
2021-05-25,44.86,BLDR
2021-05-24,44.48,BLDR
2021-05-21,43.96,BLDR
2021-05-20,44.78,BLDR
2021-05-19,44.62,BLDR
2021-05-18,45.85,BLDR
2021-05-17,47.95,BLDR
2021-05-14,47.93,BLDR
2021-05-13,47.96,BLDR
2021-05-12,46.64,BLDR
2021-05-11,50.4,BLDR
2021-05-10,52.3,BLDR
2021-05-07,52.36,BLDR
2021-05-06,52.0,BLDR
2021-05-05,49.06,BLDR
2021-05-04,48.81,BLDR
2021-05-03,49.3,BLDR
2021-04-30,48.67,BLDR
2021-04-29,49.97,BLDR
2021-04-28,49.05,BLDR
2021-04-27,49.96,BLDR
2021-04-26,49.6,BLDR
2021-04-23,48.77,BLDR
2021-04-22,47.76,BLDR
2021-04-21,48.17,BLDR
2021-04-20,47.71,BLDR
